filename,alt_text,caption,source_credit,source_year,license_note,rights_status,people_shown,is_placeholder
kebun-teh.jpg,"Hamparan kebun teh di lereng bukit","Foto contoh: kebun teh — bukan foto Desa Cihawuk.",Iqbalfauzn,2017,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Kebun_Teh_Rancabali.jpg",licensed,,1
kebun-teh-2.jpg,"Barisan tanaman teh dengan latar pegunungan","Foto contoh: kebun teh — bukan foto Desa Cihawuk.",Raflinoer32,2024,"CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Kebun_teh_Pangalengan,_Bandung.jpg",licensed,,1
pasar.jpg,"Suasana pasar tradisional dengan lapak sayur","Foto contoh: pasar tradisional — bukan foto Desa Cihawuk.","Muhammad Haris",2016,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Jukung_Pasar_Terapung.jpg",licensed,,1
kantor-desa.jpg,"Bangunan kantor pemerintahan desa","Foto contoh: kantor desa — bukan foto Desa Cihawuk.",NaufalZuhri,2025,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Depan_Area_Kantor_Kepala_Desa_Banggle.jpg",licensed,,1
balai-desa.jpg,"Bangunan balai pertemuan desa","Foto contoh: balai desa — bukan foto Desa Cihawuk.",Igho,2020,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Balai_Desa_Kalikuto_Grabag.jpg",licensed,,1
posyandu.jpg,"Kegiatan pelayanan kesehatan ibu dan anak","Foto contoh: posyandu — bukan foto Desa Cihawuk.",Lefaan,2018,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:KADER_LOKAL.jpg",licensed,,1
ternak-sapi.jpg,"Sapi perah di kandang peternakan","Foto contoh: peternakan sapi — bukan foto Desa Cihawuk.","Michael Barera",2025,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:2025_Michigan_State_Fair_August_2025_09_(Dairy_Cattle).jpg",licensed,,1
air-panas.jpg,"Kolam pemandian air panas alami","Foto contoh: pemandian air panas — bukan foto Desa Cihawuk.","Dave Is Killa",2022,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:A_view_of_Kawah_Putih_(White_Crater_Lake)_-_Bandung,_Indonesia,_2022-04-22.jpg",licensed,,1
danau.jpg,"Danau dengan latar perbukitan","Foto contoh: danau pegunungan — bukan foto Desa Cihawuk.","Ilham jayakesuma",2022,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Cileunca_Lake.jpg",licensed,,1
kerajinan-bambu.jpg,"Anyaman bambu hasil kerajinan tangan","Foto contoh: kerajinan bambu — bukan foto Desa Cihawuk.",Desa.gedangdowo,2017,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Anyaman_bambu-Kalo.jpg",licensed,,1
warung.jpg,"Warung makan sederhana di tepi jalan","Foto contoh: warung — bukan foto Desa Cihawuk.",kasman70,2014,"CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Ubrug,_Warung_Kiara,_Sukabumi,_West_Java,_Indonesia_-_panoramio.jpg",licensed,,1
jalan-desa.jpg,"Jalan permukiman desa","Foto contoh: jalan desa — bukan foto Desa Cihawuk.",SATELITBM,2022,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Jalan_Di_Pedesaan.jpg",licensed,,1
musyawarah.jpg,"Pertemuan warga di balai desa","Foto contoh: musyawarah desa — bukan foto Desa Cihawuk.","Desa dahai",2017,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Kantor_Desa_Dahai,_Balangan_(2).jpg",licensed,,1
